id,lat,lon,vehicle_type,completed_orders,shift_hours,current_load,rider_call_sign
252,12.957664,77.584895,bicycle,396,8.3,1,WX-144
253,12.969382,77.61116,bicycle,395,2.6,4,PM-566
254,12.959989,77.612842,BIKE,377,3.9,3,YD-189
255,12.972698,77.585846,bicycle,1919,6.2,1,
256,12.956499,77.578588,bicycle,3411,2.6,2,RQ-771
257,12.987327,77.587366,bicycle,2358,1.1,0,
258,12.988624,77.597204,Scooter,3891,10.7,0,SZ-570
259,12.960599,77.589647,cycle,3184,5.5,1,PA-597
260,12.956353,77.580015,Scooter,2268,10.8,1,WR-582
261,12.982209,77.614456,bicycle,2836,6.9,0,CU-574
262,12.97132,77.597651,CAR,3,0.6,5,KC-986
263,12.956658,77.578492,CAR,59,9.5,1,UZ-758
264,12.961071,77.585405,BIKE,307,2.5,0,NE-298
265,12.990893,77.593583,bike,628,9.6,2,FA-137
266,12.966944,77.592774,e-scooter,344,3.1,1,SM-327
267,12.98407,77.5919,Bicycle,155,2.5,4,YL-361
268,12.96908,77.592676,scooter,44,5.4,2,UY-874
269,12.957313,77.603562,BIKE,183,3.2,0,QY-770
270,12.988678,77.5762,cycle,85,0.5,3,QE-194
271,12.955435,77.604286,Bicycle,52,0.3,0,US-525
272,12.98511,77.57567,Scooter,1942,7.1,1,LU-559
273,12.974578,77.605478,bicycle,3088,7.1,2,EM-513
274,12.972205,77.598008,bicycle,317,10.0,0,
275,0.0,0.0,4-wheeler,354,1.2,3,WV-522
276,12.970893,77.600428,Scooter,13,9.6,2,WR-295
277,12.964327,77.606664,CAR,23,0.5,1,BH-517
278,12.962544,77.613205,Car,790,0.6,1,UF-826
279,12.9808,77.605527,bicycle,5,9.7,4,CG-953
280,12.969955,77.576883,Scooter,2204,8.7,2,BB-509
281,12.977091,77.611084,CAR,38,0.7,1,KW-657
282,12.951947,77.57835,bicycle,2,9.1,4,CS-673
283,12.984751,77.609559,BIKE,47,8.4,4,UT-214
284,12.951808,77.589881,,194,0.9,4,ED-255
285,12.966112,77.597297,e-scooter,32,4.8,0,
286,12.982911,77.60711,cycle,1143,3.0,4,ZD-433
287,12.984953,77.585135,cycle,366,0.0,0,DF-483
288,12.958777,77.579215,Bicycle,3956,10.6,0,QR-114
289,12.961004,77.605726,4-wheeler,1228,8.2,1,
290,12.988447,77.610539,scooter,263,8.3,1,VQ-544
291,12.989419,77.587075,bike,302,3.3,1,HN-371
292,12.980916,77.610971,car,280,2.2,1,EX-575
293,12.98239,77.580441,Scooter,1552,5.9,1,VZ-805
294,12.963814,77.59972,,1,9.3,1,PJ-306
295,12.973765,77.596725,scooter,1863,2.7,1,UN-851
296,12.982207,77.607239,Bicycle,40,10.7,3,
297,12.959673,77.606979,car,237,19.5,3,
298,12.981548,77.595733,scooter,15,6.0,1,JP-165
299,12.966655,77.610534,bicycle,3540,8.3,0,
300,12.977821,77.598744,bike,16,0.4,0,JP-249
301,12.969459,77.591123,Bike,134,4.6,2,TM-334
302,12.985982,77.594718,car,485,7.9,2,ZG-490
303,12.987144,77.585852,e-scooter,82,3.3,2,XW-464
304,12.972892,77.600866,Bicycle,2581,5.3,2,XP-703
305,12.973328,77.582085,Bicycle,422,1.7,0,CU-956
306,12.970529,77.59567,bicycle,66,4.8,1,LE-903
307,12.960198,77.597261,bike,115,8.1,2,RK-311
308,12.969777,77.607491,scooter,130,5.8,3,TC-555
309,12.965642,77.594221,cycle,3909,7.0,0,FM-660
310,12.970624,77.592904,cycle,3352,5.6,4,GX-894
311,12.99137,77.587832,Car,1315,8.6,1,
312,12.975579,77.580248,CAR,291,1.1,2,
313,12.975197,77.609053,bicycle,24,7.5,5,TN-678
314,12.986049,77.586252,scooter,94,8.3,1,TD-630
315,12.953252,77.603263,Bike,26,7.5,1,RL-462
316,12.967559,77.582571,Car,821,7.4,2,WA-575
317,12.977429,77.605903,4-wheeler,112,9.9,2,NC-350
318,12.959626,77.581601,e-scooter,2370,3.9,3,
319,12.991585,77.582074,bicycle,24,10.3,2,TL-148
320,12.968434,77.599251,scooter,16,7.1,0,WE-546
321,12.972415,77.595192,,3203,1.7,1,XC-320
322,12.980037,77.597869,car,32,6.1,4,DK-102
323,12.955493,77.595589,Bicycle,0,10.6,1,DD-711
324,12.982907,77.587952,scooter,476,3.7,1,
325,12.954938,77.599172,cycle,1063,10.7,2,VJ-352
326,12.989698,77.591523,Bike,2236,8.5,0,CH-647
327,12.979329,77.591136,Scooter,50,2.2,2,WZ-551
328,12.964631,77.586661,CAR,16,5.7,5,RC-230
329,12.987372,77.61082,4-wheeler,2,2.4,0,JP-778
330,12.968232,77.602332,Car,186,9.7,1,RN-812
331,12.988486,77.605672,bike,49,6.7,5,KL-260
332,12.98957,77.605533,car,169,4.8,1,
333,12.986093,77.61044,bicycle,7,5.7,0,XA-853
334,12.96142,77.604082,car,3315,10.1,4,LK-546
335,12.979693,77.578458,Bicycle,3433,6.8,1,RT-734
336,12.980898,77.588821,car,2376,9.3,2,QX-281
337,12.983597,77.600145,,3460,10.0,2,KW-655
338,12.990447,77.613901,,145,0.7,0,CG-272
339,12.953173,77.592319,Bike,479,6.6,0,PW-172
340,12.991353,77.596198,e-scooter,204,2.3,1,UL-602
341,12.96667,77.579141,Scooter,20,10.9,5,YX-741
342,12.959247,77.609776,bicycle,4,5.7,4,AE-206
343,12.990682,77.592647,bicycle,31,0.9,2,RC-624
344,12.974494,77.593894,scooter,2980,9.0,0,QC-935
345,12.955745,77.580031,scooter,295,10.8,1,FG-161
346,12.978097,77.603663,car,3137,3.5,1,MZ-424
347,12.988641,77.595852,Car,276,7.7,0,EP-684
348,12.990296,77.608771,two_wheeler,504,9.5,-1,LW-893
349,12.958033,77.585666,CAR,0,6.7,2,ZL-448
350,12.98494,77.586901,CAR,299,6.6,0,EP-512
351,12.971648,77.575625,CAR,2511,4.0,1,XF-693
352,12.957332,77.60449,scooter,7,1.9,1,LH-344
353,12.979289,77.589538,Bicycle,381,2.6,1,EV-359
354,12.971252,77.591739,e-scooter,3,0.5,1,UG-744
355,12.969993,77.598101,4-wheeler,3599,2.5,2,EL-539
356,12.973757,77.58301,Car,1361,9.6,1,ED-440
357,12.953086,77.606931,Scooter,3501,4.0,2,GX-513
358,12.952819,77.582479,bicycle,365,0.6,0,RE-190
359,12.98753,77.592581,4-wheeler,1437,6.6,5,
360,12.977682,77.592114,,404,0.5,5,TF-386
361,12.990957,77.602317,CAR,3694,1.2,1,PA-343
362,12.989377,77.61347,4-wheeler,331,8.4,2,
363,12.970203,77.59671,bicycle,1953,8.5,0,NL-803
364,12.988914,77.597338,cycle,403,0.7,0,FT-599
365,12.966588,77.583627,bicycle,366,1.1,1,LD-264
366,12.957255,77.591771,car,20,0.1,0,WM-529
367,12.983797,77.613945,Car,44,2.8,1,CL-993
368,12.954415,77.605067,CAR,2148,9.4,2,XJ-682
369,12.960362,77.598017,Scooter,22,2.3,1,HU-294
370,12.976476,77.605545,two_wheeler,38,2.6,1,MJ-775
371,12.978552,77.592014,bike,958,8.6,1,
372,12.983877,77.600525,scooter,36,9.2,0,ZN-716
373,12.981908,77.610152,scooter,11,4.0,1,PE-209
374,12.974438,77.580591,cycle,2663,4.6,4,GA-994
375,12.961272,77.612351,Bicycle,444,7.1,2,HM-444
376,12.967564,77.580727,BIKE,349,3.0,0,
377,12.985202,77.610914,Scooter,371,4.8,5,QW-973
378,12.966031,77.589504,Bicycle,158,6.3,2,GM-997
379,12.974278,77.598343,bicycle,3678,8.1,3,DL-900
380,12.96248,77.57745,bicycle,41,1.1,2,UD-596
381,12.969601,77.614281,Bike,530,10.0,0,FN-886
382,12.983413,77.582891,e-scooter,1582,1.7,1,KU-134
383,12.981517,77.612938,bike,2858,3.8,2,VW-154
384,12.988115,77.60873,Bicycle,375,5.0,2,YV-643
385,12.990795,77.609453,BIKE,2943,6.5,1,KJ-963
386,12.95726,77.590422,Bicycle,20,8.6,1,LJ-735
387,12.987178,77.599331,Scooter,49,9.8,3,ZN-417
388,12.976156,77.578909,BIKE,10,4.4,1,EC-469
389,12.954883,77.582586,Scooter,6,5.3,0,PE-274
390,12.981526,77.583667,two_wheeler,362,6.1,1,NY-933
391,12.962535,77.582481,cycle,561,4.9,0,DR-206
392,12.981434,77.588489,car,174,2.9,0,JB-778
393,12.956642,77.578779,Car,53,9.3,1,KQ-220
394,12.963771,77.587617,CAR,99,4.2,1,YZ-459
395,12.986844,77.583716,bicycle,5,6.9,-1,JR-772
396,12.989882,77.610745,bicycle,383,5.9,1,YM-709
397,12.967362,77.603659,BIKE,315,9.1,0,EX-942
398,12.975381,77.575858,cycle,17,2.6,-1,TS-729
399,12.953503,77.577946,scooter,302,2.6,3,UF-536
400,12.976124,77.587559,scooter,1859,0.5,1,LV-474
401,12.962007,77.582841,bicycle,289,9.3,2,LD-160
402,12.976938,77.607559,Car,0,2.8,0,UQ-975
403,12.955161,77.582605,cycle,1140,4.0,3,
404,12.956687,77.604699,scooter,154,6.7,1,HX-675
405,12.974209,77.580824,CAR,140,6.8,1,WV-789
406,12.987093,77.601451,e-scooter,258,8.5,-1,RF-759
407,12.982007,77.602593,bicycle,43,0.8,1,SU-872
408,12.982966,77.586142,e-scooter,2801,1.4,3,EJ-354
409,12.988879,77.588185,bicycle,196,4.6,4,PP-829
410,12.980995,77.580665,car,449,9.8,0,
411,12.960134,77.57541,Bike,21,1.1,2,PX-201
412,12.96207,77.579663,e-scooter,47,3.2,4,GC-732
413,12.967311,77.596342,bike,3619,1.1,1,SK-445
414,12.965813,77.585349,Bike,3515,7.8,3,PF-305
415,12.979728,77.578608,bicycle,423,7.0,1,HG-792
416,12.974931,77.575182,car,2473,6.2,1,PS-210
417,12.991543,77.614528,cycle,285,1.3,2,AG-470
418,12.965074,77.594378,Car,28,2.2,0,QK-544
419,12.971665,77.606971,cycle,17,4.2,0,WU-412
420,12.979631,77.584722,CAR,18,0.2,1,SZ-891
421,12.957356,77.587821,cycle,361,9.5,0,
422,12.974295,77.605366,Bike,271,1.5,0,PS-148
423,12.977731,77.609512,BIKE,431,0.0,1,
424,12.961285,77.58525,e-scooter,451,0.8,3,SS-816
425,12.974596,77.609127,e-scooter,56,1.4,4,GJ-342
426,12.988764,77.602572,CAR,281,5.5,1,DH-887
427,12.966967,77.579517,,31,6.7,2,FW-203
428,12.984841,77.602052,two_wheeler,170,0.6,1,MN-152
429,12.963935,77.600487,CAR,11,5.1,0,FA-989
430,12.959054,77.612643,CAR,16,0.8,0,GN-908
431,12.979294,77.580915,Car,572,9.7,5,HP-352
432,12.954643,77.607438,e-scooter,95,3.4,2,HE-627
433,12.981795,77.580027,cycle,311,8.0,2,TQ-516
434,12.965811,77.592125,e-scooter,3240,5.5,-1,CE-808
435,12.98941,77.604123,bicycle,16,0.1,3,DR-294
436,12.97763,77.597445,BIKE,38,9.0,0,BX-515
437,12.989488,77.58506,bicycle,310,6.7,2,YK-626
438,12.967934,77.582379,Bike,3019,8.1,1,
439,12.969688,77.581441,car,1714,3.1,1,JY-525
440,12.981161,77.606449,cycle,2215,9.7,5,KH-186
441,12.981733,77.597224,BIKE,39,8.0,1,NV-144
442,12.968542,77.575197,Scooter,3928,10.6,0,AW-242
443,12.987758,77.609531,cycle,21,7.6,2,
444,12.957698,77.58248,Scooter,1418,6.0,0,RZ-696
445,12.971485,77.604256,e-scooter,358,6.1,5,FA-664
446,12.980171,77.581894,4-wheeler,180,8.8,1,DA-640
447,12.954183,77.601638,cycle,2571,4.8,3,
448,12.952004,77.574788,e-scooter,2872,6.0,0,KX-121
449,12.976626,77.614428,cycle,494,2.6,1,PX-106
450,12.957283,77.595403,bicycle,94,6.5,4,BT-885
451,12.964818,77.609165,Car,103,0.2,1,AM-262
452,12.958609,77.608721,bicycle,3760,2.3,3,BV-521
453,12.962915,77.605654,CAR,6,7.5,3,
454,12.95871,77.598758,cycle,1896,1.3,1,YC-493
455,12.953426,77.582253,Scooter,37,18.7,4,SJ-333
456,12.984085,77.590564,car,2797,2.0,2,NS-570
457,12.989933,77.596411,e-scooter,2317,0.5,0,GF-101
458,12.991194,77.59679,scooter,90,9.2,2,HF-380
459,12.98201,77.586965,bicycle,261,6.4,0,
460,12.969664,77.595638,scooter,0,6.8,0,LK-499
461,12.954421,77.574766,two_wheeler,334,9.4,2,RA-713
462,12.972488,77.579659,bike,36,2.5,3,DY-610
463,12.981841,77.581445,Car,604,10.7,0,SH-212
464,12.970683,77.602633,bike,407,4.7,4,CP-471
465,12.983067,77.597638,cycle,385,5.3,4,
466,12.987448,77.580957,CAR,913,4.7,1,VC-185
467,12.984487,77.580214,bike,59,6.9,0,RV-923
468,12.989528,77.590971,bicycle,26,7.8,5,VV-625
469,12.977425,77.596021,car,3240,7.0,0,GD-706
470,12.975717,77.601218,bicycle,7,0.7,4,AA-107
471,12.953498,77.5942,CAR,2823,9.2,1,TD-460
