id,name,lat,lon,cuisine,avg_rating,prep_capacity,manager_contact
42,Wok Eats,12.970466,77.596437,South Indian,4.5,15,+91-892228802
43,Madras Eats,12.98168,77.607145,Continental,3.1,20,+91-747220099
44,Cloud Bites,12.980106,77.595282,Fast Food,4.3,6,+91-930244148
45,Hot Bites,12.963,77.600806,South Indian,3.5,10,+91-712621534
46,Madras Cafe,12.983015,77.603099,North Indian,3.4,10,+91-783300637
47,Bombay Bites,12.981196,77.60733,Fast Food,2.9,8,+91-827129912
48,Wok Junction,12.986983,77.595692,Healthy Bowls,2.9,15,+91-860882459
49,Royal Bistro,12.966075,77.59315,Bakery & Desserts,4.8,10,
50,Royal Bites,12.972861,77.610597,South Indian,4.2,20,+91-730452412
51,Urban Treats,12.963233,77.593754,Italian,3.3,8,+91-931980274
52,Spice Box,12.986471,77.582059,Fast Food,4.7,10,
53,Urban Plate,12.9777,77.598672,Fast Food,4.1,4,
54,Urban Diner,12.972648,77.599769,Biryani,,10,+91-771705170
55,Hot Diner,12.978234,77.592536,Fast Food,4.7,20,+91-853258988
56,Urban Corner,12.982855,77.605183,Beverages,3.8,12,+91-834406132
57,Green Bowl,12.971202,77.589954,Fast Food,4.3,8,+91-964549859
58,Hot Cafe,12.971234,77.602861,Beverages,2.8,8,+91-759529086
59,Madras Plate,12.970744,77.59559,Continental,4.3,8,+91-826046365
60,Hot Express,12.979372,77.609028,Italian,3.8,15,+91-936054020
61,Green Kitchen,12.96508,77.590148,Continental,2.9,4,
62,Garden Kitchen,12.983391,77.594308,Healthy Bowls,3.8,8,+91-825312516
63,Urban Treats,12.981908,77.591423,North Indian,4.5,8,+91-891378577
64,Daily Diner,12.974676,77.598389,Bakery & Desserts,3.7,20,+91-991823275
65,Daily Bites,12.986323,77.581775,Italian,3.0,6,
66,Green Kitchen,12.970016,77.597602,Italian,3.4,20,+91-789160218
67,Madras House,12.976758,77.608477,Continental,3.1,8,+91-889865458
68,Green Cafe,12.979567,77.596815,South Indian,3.4,10,+91-990267122
69,Royal Treats,12.956876,77.592425,Fast Food,,6,+91-946173157
70,Tandoor Cafe,12.97404,77.603019,Continental,4.7,6,+91-973083727
71,Cloud House,12.966735,77.589266,Chinese,4.3,8,+91-971045700
72,Urban Bistro,12.958418,77.586677,Bakery & Desserts,4.5,4,+91-979583757
73,Cloud Cafe,12.967177,77.602806,North Indian,4.0,8,
74,Curry Plate,12.986741,77.598084,Chinese,2.8,10,+91-825766039
75,Wok Plate,12.976327,77.583527,Fast Food,3.4,20,+91-961484043
76,Hot Box,12.9617,77.59778,Chinese,3.4,20,+91-810344303
77,Fresh Treats,12.964651,77.588154,Beverages,3.7,10,+91-853188224
78,Curry Treats,12.983427,77.609985,Bakery & Desserts,4.4,4,+91-861818612
79,Cloud Express,12.987229,77.603957,Beverages,3.1,12,+91-980591959
80,Tandoor Junction,12.984734,77.579091,Chinese,,20,+91-720779739
81,Garden Diner,12.982856,77.605875,Bakery & Desserts,4.1,20,+91-994712997
82,Curry Plate,12.977501,77.587796,South Indian,3.0,15,+91-813885234
83,Green Bowl,12.957072,77.604077,Biryani,3.3,10,+91-991804602
84,Curry Cafe,12.983467,77.598431,Healthy Bowls,3.8,8,+91-848605268
85,Bombay Bowl,12.977284,77.583655,Healthy Bowls,4.8,15,+91-874855088
86,Royal Treats,12.959013,77.590804,Fast Food,3.4,20,+91-716582607
87,Garden Box,12.98474,77.602446,Fast Food,3.3,20,+91-798473848
88,Urban Box,12.977387,77.582977,North Indian,3.7,12,+91-865767881
89,Namma Box,12.96122,77.582829,Biryani,4.7,20,+91-855461591
90,Urban Express,12.981335,77.593587,Italian,4.3,10,+91-811868130
91,Royal Hub,12.964063,77.582555,Fast Food,4.5,8,
92,Wok Treats,12.983896,77.596565,Italian,4.1,10,+91-916086345
93,Bombay House,12.98588,77.58834,South Indian,3.9,10,+91-766254240
94,Wok Junction,12.974395,77.601851,South Indian,4.1,8,+91-958678896
95,Namma Box,12.958779,77.600542,Biryani,,8,+91-822304198
96,Fresh Kitchen,12.976809,77.599135,North Indian,3.3,6,+91-737804191
97,Curry Bowl,12.974364,77.604618,Chinese,4.1,8,
98,Cloud Eats,12.963621,77.584184,North Indian,3.6,20,+91-927013243
99,Hot House,12.979335,77.595435,Beverages,3.6,12,+91-998436473
100,Spice Kitchen,12.972286,77.593257,Beverages,3.7,4,
101,Urban Express,12.958185,77.598066,Fast Food,4.0,15,+91-877853916
102,Hot House,12.974974,77.581774,Continental,3.3,10,+91-865833185
103,Royal Hub,12.978948,77.588602,Fast Food,3.1,10,
104,Daily Express,12.95869,77.602241,Continental,,12,+91-766765623
105,Green Treats,12.983379,77.601674,Fast Food,4.0,6,+91-884660688
106,Fresh Bites,12.967362,77.603003,Bakery & Desserts,4.8,20,+91-798292612
107,Tandoor Corner,12.982143,77.587158,Fast Food,3.5,6,+91-994982908
108,Namma Bites,12.986698,77.581536,Bakery & Desserts,3.5,8,+91-721402740
109,Daily Treats,12.983867,77.583579,North Indian,3.4,15,+91-978765957
110,Green Hub,12.959242,77.592357,Healthy Bowls,4.2,4,
111,Daily Express,12.962142,77.60885,Fast Food,3.1,10,+91-740884937
112,Daily Bowl,12.971608,77.605267,South Indian,4.4,0,+91-887277086
113,Cloud Junction,12.969337,77.591542,Fast Food,2.8,8,+91-758567046
114,Curry Junction,12.95842,77.605623,Healthy Bowls,3.0,20,+91-920251466
115,Namma Bites,12.971935,77.582249,Biryani,4.8,15,
116,Daily Bistro,12.961913,77.597877,South Indian,4.4,10,+91-785764804
117,Royal Eats,12.976176,77.610169,Biryani,2.9,10,+91-878093604
118,Spice Kitchen,12.957974,77.593376,Biryani,3.0,20,+91-872104107
119,Hot Box,12.974171,77.609135,North Indian,4.5,15,+91-970468188
120,Royal Plate,12.958912,77.607372,South Indian,3.2,6,+91-731306555
121,Madras Junction,12.967245,77.607974,Biryani,2.9,15,
122,Hot Eats,12.977308,77.587693,Healthy Bowls,3.5,12,+91-798870276
123,Urban Corner,12.968143,77.597641,Continental,4.5,20,+91-780651318
124,Namma Bowl,12.95859,77.600055,North Indian,3.2,6,+91-930796389
125,Urban Diner,12.958069,77.605622,Continental,4.7,4,+91-760562485
126,Hot Bistro,12.960536,77.584387,Healthy Bowls,3.1,10,+91-891952730
127,Bombay Bites,12.964718,77.602553,Continental,4.8,20,+91-769135982
128,Madras Diner,12.970374,77.587617,Continental,3.1,6,+91-774503785
129,Urban Plate,12.983572,77.596345,Continental,3.4,20,+91-822309586
130,Bombay Box,12.985885,77.585705,Biryani,3.7,10,+91-840137082
131,Garden Plate,12.956502,77.608386,Biryani,3.1,8,+91-772962895
132,Urban Kitchen,12.969955,77.578768,Fast Food,3.1,15,+91-950419829
133,Cloud Bistro,12.959499,77.58623,Healthy Bowls,3.0,150,+91-867611469
134,Fresh Junction,12.95565,77.58989,Chinese,3.0,8,+91-784377016
135,Spice Hub,12.956251,77.606547,Bakery & Desserts,3.3,4,+91-794323222
136,Daily Bowl,12.958917,77.597221,Chinese,,12,+91-772360629
137,Tandoor Bistro,12.986986,77.593913,Chinese,,20,+91-915624520
138,Madras Eats,12.965699,77.588522,Continental,2.9,15,+91-754550177
139,Madras Box,12.964343,77.604179,Bakery & Desserts,4.7,10,+91-879696025
140,Madras House,12.964135,77.581244,Bakery & Desserts,4.5,12,+91-851137177
141,Tandoor Plate,12.969869,77.601565,Beverages,2.9,20,+91-717698469
142,Royal Diner,12.958001,77.599,Chinese,3.1,12,
143,Royal Junction,12.963152,77.599245,Healthy Bowls,,6,+91-987030477
144,Royal Hub,12.960006,77.590342,Fast Food,3.0,15,+91-945135070
145,Curry Treats,12.980399,77.601129,Fast Food,4.9,6,+91-769741812
146,Garden Bowl,12.987512,77.604536,Biryani,4.0,8,+91-795590648
147,Curry House,12.961171,77.590168,Italian,3.3,0,+91-872734149
148,Fresh Box,12.981317,77.596253,South Indian,,10,+91-887161840
149,Cloud House,12.95796,77.609716,Beverages,3.9,6,+91-927318510
150,Spice Eats,12.969444,77.607743,South Indian,3.4,6,+91-748124318
151,Cloud Diner,12.98267,77.586619,Fast Food,3.4,12,+91-730695604
152,Wok Treats,12.961078,77.598583,Biryani,4.0,20,+91-745521514
153,Madras Treats,12.976436,77.603143,North Indian,4.1,8,+91-764504816
154,Spice Express,12.965118,77.580935,Beverages,3.8,8,+91-756354851
155,Royal Diner,12.986812,77.582785,Continental,3.3,4,
156,Fresh Junction,12.964887,77.590893,Italian,4.7,20,+91-976876068
157,Wok Corner,12.987471,77.593538,Beverages,,10,+91-816530784
158,Wok Eats,12.957217,77.594437,Beverages,2.8,4,+91-859115280
159,Namma Bites,12.957048,77.580237,Biryani,3.0,12,+91-792012822
160,Madras Bowl,12.959402,77.609803,Biryani,3.6,6,+91-915222944
161,Bombay Diner,12.959985,77.589257,Beverages,4.7,6,+91-750162553
162,Namma Diner,12.974599,77.594834,Beverages,3.4,0,+91-965907088
163,Hot Eats,12.974278,77.604096,North Indian,3.4,15,+91-716892773
164,Cloud Plate,12.974273,77.584056,Healthy Bowls,3.6,20,+91-935606639
165,Tandoor Junction,12.956206,77.588638,Italian,4.4,10,
166,Royal Hub,12.960019,77.585235,Beverages,3.5,6,+91-796343485
167,Bombay Bites,12.981317,77.58706,Italian,3.4,8,+91-852552488
168,Wok Bistro,12.970954,77.596536,Fast Food,4.0,12,+91-948983895
169,Urban Bowl,12.956946,77.60917,Beverages,4.4,6,+91-746456416
170,Fresh Bites,12.959993,77.598302,Italian,,12,
171,Cloud Bistro,12.966169,77.593717,Chinese,,12,+91-874082055
172,Green Bowl,12.976417,77.602789,Fast Food,4.7,4,+91-933496796
173,Wok Box,12.968972,77.605403,North Indian,3.6,10,+91-815028625
174,Urban Box,12.955897,77.596775,Biryani,4.9,12,
175,Daily House,12.971735,77.587331,Biryani,3.8,200,+91-735925669
176,Wok Junction,12.961216,77.605997,Bakery & Desserts,3.0,15,+91-910916723
177,Daily Corner,12.963945,77.586137,Biryani,4.3,4,+91-725867870
178,Cloud Diner,12.970493,77.583711,Fast Food,4.1,8,+91-830560218
179,Royal Junction,12.970159,77.610243,Continental,4.4,20,+91-720988446
180,Royal House,12.972416,77.595502,Healthy Bowls,4.5,12,+91-769302835
181,Fresh Cafe,12.95932,77.585173,South Indian,3.7,4,+91-985000490
182,Hot Kitchen,12.970396,77.604421,Bakery & Desserts,2.8,6,+91-982633735
183,Urban Box,12.987412,77.608507,Beverages,,10,+91-796688655
184,Wok Junction,12.986441,77.590583,Beverages,4.7,10,+91-997715861
185,Namma Junction,12.983129,77.582396,Continental,4.9,0,
186,Namma Junction,12.965148,77.600152,Continental,3.3,10,+91-725145751
187,Fresh Bistro,12.956631,77.599726,North Indian,2.9,12,+91-942847661
188,Curry Diner,12.979297,77.591472,Italian,4.4,6,+91-787324220
189,Cloud Eats,12.965805,77.597733,Biryani,4.6,15,+91-789412216
190,Cloud Hub,12.983751,77.60777,Bakery & Desserts,2.9,8,+91-865878146
191,Tandoor Bistro,12.968664,77.588196,Continental,4.6,8,+91-985482164
192,Namma Express,12.968806,77.591928,Bakery & Desserts,3.2,15,+91-735566010
193,Fresh Treats,12.957249,77.590669,North Indian,3.2,20,+91-954689713
194,Curry Box,12.965302,77.607688,Italian,3.0,20,+91-963235053
195,Daily Corner,12.984884,77.596267,Bakery & Desserts,4.2,8,+91-973013937
196,Curry Bowl,12.979972,77.588847,Biryani,4.0,200,+91-954273769
197,Curry Cafe,12.962961,77.596833,Continental,4.2,8,+91-775846624
198,Royal Express,12.970347,77.602049,Chinese,3.8,12,+91-999686372
199,Tandoor Eats,12.957152,77.578804,Italian,,0,+91-818113477
200,Fresh Box,12.975371,77.599936,Beverages,2.8,200,+91-812300840
201,Madras Bistro,12.971671,77.600931,Chinese,3.0,6,+91-845879718
202,Madras Cafe,12.981038,77.581129,Healthy Bowls,4.3,8,+91-714252622
203,Namma Cafe,12.958592,77.590736,North Indian,4.3,4,+91-722799248
204,Curry Bites,12.984233,77.608013,Healthy Bowls,2.9,4,+91-714416002
205,Spice Bites,12.961339,77.605814,Healthy Bowls,4.5,20,+91-986060638
206,Wok Diner,12.982309,77.591053,Biryani,4.4,20,+91-817207013
207,Urban Bowl,12.958726,77.586029,Healthy Bowls,4.8,10,+91-875847681
208,Madras Junction,12.9629,77.596297,Chinese,4.2,4,+91-921010955
209,Daily Hub,12.964175,77.59076,Chinese,3.5,4,+91-823721268
210,Bombay Diner,12.95984,77.584597,Continental,3.0,4,+91-861705758
211,Daily House,12.955995,77.591842,Continental,4.9,12,+91-850417154
212,Tandoor Junction,12.964189,77.58327,Fast Food,3.8,4,+91-889699345
213,Tandoor Corner,12.975333,77.593252,North Indian,3.5,12,+91-897380687
214,Royal Treats,12.986775,77.582956,Italian,3.2,10,+91-887293208
215,Green Eats,12.980623,77.589028,Bakery & Desserts,4.8,6,+91-713612618
216,Hot Bites,12.986096,77.593372,Beverages,4.5,4,+91-828680305
217,Cloud Express,12.975867,77.586345,Bakery & Desserts,3.0,12,+91-766143368
218,Royal Plate,12.972997,77.603903,Continental,4.7,4,+91-792232236
219,Cloud Hub,12.957017,77.610075,Bakery & Desserts,3.5,200,+91-779631857
220,Curry Cafe,12.973456,77.600605,Biryani,4.4,12,+91-824032377
221,Urban House,12.965054,77.608058,Chinese,3.5,20,+91-870726434
222,Daily Plate,12.965805,77.588208,South Indian,,8,+91-742737441
223,Royal Diner,12.972112,77.596261,Bakery & Desserts,3.3,10,+91-813918120
224,Bombay Treats,12.979196,77.606859,Bakery & Desserts,4.3,6,+91-723656928
225,Royal Bowl,12.981184,77.59578,Italian,3.4,20,+91-892048427
226,Royal Eats,12.968161,77.582255,Beverages,4.5,15,+91-727978165
227,Urban Express,12.965622,77.586234,Biryani,3.9,10,+91-895295586
228,Wok Express,12.972796,77.608013,Continental,3.4,6,
229,Tandoor Bites,12.967089,77.578907,Bakery & Desserts,3.9,10,+91-875592138
230,Daily Bistro,12.960952,77.596693,Italian,3.4,12,+91-883782999
231,Green Bistro,12.971946,77.596927,Continental,3.6,20,+91-967063296
232,Daily Bites,12.958877,77.605162,Fast Food,2.9,8,+91-941802361
233,Hot Bowl,12.962316,77.602204,Healthy Bowls,3.1,6,+91-757085656
234,Tandoor Bowl,12.972633,77.597699,Fast Food,3.4,20,+91-965243509
235,Garden Hub,12.985001,77.61036,Chinese,3.1,6,+91-762707402
236,Green Hub,12.971263,77.597078,Bakery & Desserts,3.0,20,+91-859535894
237,Fresh Kitchen,12.97015,77.594217,South Indian,3.8,15,+91-839236638
238,Bombay Corner,12.98658,77.604995,Biryani,3.5,12,+91-716497381
239,Garden Cafe,12.95707,77.598638,North Indian,4.6,10,+91-727705074
240,Garden Box,12.983829,77.58826,Fast Food,3.6,4,+91-893967184
241,Curry Junction,12.965376,77.600982,South Indian,2.8,10,+91-811246473
242,Urban Eats,12.955858,77.589594,Bakery & Desserts,3.8,6,
243,Tandoor Junction,12.965627,77.606792,Chinese,4.2,150,+91-738595818
244,Madras Treats,12.975699,77.583444,Beverages,3.0,4,+91-867631581
245,Green Hub,12.965664,77.583075,South Indian,4.1,15,+91-750486688
246,Curry Plate,12.962174,77.598022,Bakery & Desserts,2.9,20,
247,Namma Box,12.971587,77.597606,North Indian,4.8,6,+91-733188838
248,Daily House,12.980007,77.609142,North Indian,2.8,6,+91-748451741
249,Madras Junction,12.975714,77.594634,Bakery & Desserts,3.9,12,
250,Tandoor Diner,12.98507,77.609778,Biryani,4.1,20,+91-842029368
251,Madras House,12.957453,77.581359,Beverages,2.9,15,
252,Tandoor Cafe,12.978253,77.601048,Biryani,4.4,15,+91-825845304
253,Daily Junction,12.980286,77.579539,Fast Food,3.4,12,+91-977056519
254,Tandoor Corner,12.9831,77.58394,South Indian,4.2,4,
255,Bombay Bowl,12.983214,77.586426,Bakery & Desserts,3.2,20,+91-766286795
256,Wok Plate,12.962784,77.586544,Biryani,3.0,8,
257,Spice Junction,12.962742,77.595105,South Indian,4.6,20,+91-959515518
258,Green Plate,12.962021,77.596642,Healthy Bowls,3.6,10,+91-742900372
259,Spice Bites,12.960418,77.608437,Continental,4.6,200,+91-751273379
260,Curry Junction,12.958926,77.595554,Beverages,4.8,6,+91-765439545
261,Hot House,12.978027,77.59052,Healthy Bowls,3.1,20,
262,Green Corner,12.976798,77.582783,Biryani,3.6,20,+91-937207628
263,Urban Express,12.959956,77.603245,South Indian,3.8,10,+91-851380361
264,Urban Express,12.970427,77.605879,Fast Food,4.3,4,
265,Madras Diner,12.978357,77.609589,North Indian,3.3,6,+91-783835976
266,Daily Bistro,12.963595,77.593385,Chinese,2.9,20,+91-894597104
267,Fresh Corner,12.985602,77.581289,South Indian,,4,+91-954499873
268,Spice Express,12.959521,77.608753,Healthy Bowls,4.3,0,+91-957505459
269,Green Cafe,12.962471,77.584589,Chinese,,12,+91-774294443
270,Tandoor Junction,12.957551,77.587553,Italian,4.5,6,+91-858199211
271,Royal Box,12.97095,77.603606,Healthy Bowls,3.6,0,+91-947706144
272,Namma Bowl,12.957475,77.610329,Healthy Bowls,4.8,4,+91-717503932
273,Fresh Eats,12.98005,77.60893,Bakery & Desserts,4.6,20,+91-758155056
274,Hot Bowl,12.984847,77.579503,Healthy Bowls,4.0,6,+91-751480401
275,Spice Bites,12.961218,77.579815,Healthy Bowls,3.9,4,+91-833818260
276,Royal Kitchen,12.985001,77.605617,North Indian,4.3,6,+91-960142505
277,Fresh House,12.978145,77.599788,Biryani,3.1,6,+91-897131500
278,Namma Plate,12.965753,77.60123,Healthy Bowls,3.3,12,+91-827092408
279,Hot Treats,12.961287,77.578658,Bakery & Desserts,4.4,12,+91-739648058
280,Bombay Express,12.976069,77.581932,Biryani,3.3,8,
281,Wok Bowl,12.978287,77.599051,Beverages,,6,+91-910171954
282,Madras Express,12.957141,77.592623,Bakery & Desserts,3.6,12,+91-797371655
283,Bombay House,12.979864,77.585819,North Indian,3.5,4,+91-720066654
284,Urban Bowl,12.973105,77.60734,Healthy Bowls,4.7,15,+91-831086112
285,Curry Junction,12.957314,77.589195,Continental,4.3,8,
286,Bombay Express,12.968173,77.596189,North Indian,3.7,8,+91-913454186
287,Urban Cafe,12.962222,77.599022,South Indian,3.6,10,+91-834814337
288,Tandoor Cafe,12.967473,77.590806,North Indian,3.8,6,+91-799586100
289,Daily Diner,12.958694,77.599981,Bakery & Desserts,4.0,12,+91-773729850
290,Green House,12.973927,77.586141,Bakery & Desserts,4.3,12,+91-729790089
291,Tandoor Express,12.959449,77.60283,Italian,3.1,10,+91-729847882
292,Wok Plate,12.982291,77.586852,South Indian,4.0,12,+91-993625419
293,Urban Junction,12.974402,77.603614,Chinese,4.0,20,
294,Garden Diner,12.980545,77.603744,Biryani,3.4,15,
295,Fresh Hub,12.964413,77.583203,Bakery & Desserts,,8,+91-859988144
296,Green Corner,12.956247,77.604756,Fast Food,4.6,15,
297,Garden Bowl,12.986775,77.59278,Fast Food,4.1,4,+91-775023164
298,Garden Kitchen,12.979904,77.60635,Continental,2.9,15,+91-713885356
299,Curry Eats,12.96116,77.606606,North Indian,3.8,8,+91-763276690
300,Spice Bites,12.975933,77.582564,Biryani,3.7,20,+91-822132198
301,Tandoor Eats,12.964722,77.59097,Healthy Bowls,3.3,6,+91-878891441
302,Daily Hub,12.956242,77.60357,North Indian,3.1,200,+91-896267144
303,Garden Bowl,12.964412,77.607255,Beverages,3.8,15,+91-978654208
304,Garden Bowl,12.987582,77.609528,Continental,4.1,8,+91-895979171
305,Cloud Plate,12.966004,77.58746,Fast Food,3.9,6,+91-764237172
306,Hot Kitchen,12.976737,77.600384,Beverages,3.3,10,+91-735489981
307,Cloud Diner,12.966581,77.601428,Beverages,4.2,12,+91-734311643
308,Hot Corner,12.965001,77.593665,Continental,3.2,15,+91-951216287
309,Royal Corner,12.969055,77.606979,Healthy Bowls,4.6,10,+91-719558414
310,Urban Eats,12.970711,77.584825,Bakery & Desserts,3.7,20,+91-886424055
311,Tandoor Bowl,12.984171,77.610173,Chinese,3.8,15,
312,Daily Express,12.970066,77.5853,Healthy Bowls,3.8,20,+91-864142556
313,Spice Kitchen,12.969329,77.593877,Continental,3.6,4,+91-910553491
314,Hot Box,12.975654,77.586562,Biryani,3.0,12,+91-849034245
315,Namma Bowl,12.97019,77.595249,Bakery & Desserts,4.9,8,+91-964142310
316,Tandoor Bites,12.956212,77.585778,North Indian,3.2,8,+91-744331441
317,Fresh Kitchen,12.98028,77.59854,South Indian,2.8,15,
318,Curry Plate,12.963688,77.60106,North Indian,4.2,15,+91-824081350
319,Green House,12.971971,77.598366,South Indian,4.1,20,+91-764996550
320,Bombay Box,12.965051,77.579861,Italian,3.8,0,+91-987061479
321,Urban Bistro,12.977009,77.583373,Continental,,15,+91-845450260
322,Tandoor Eats,12.970457,77.581794,North Indian,3.6,15,
323,Garden Express,12.979863,77.580068,Chinese,4.7,12,+91-834544318
324,Bombay Corner,12.959243,77.591408,Bakery & Desserts,3.8,10,
325,Garden Express,12.977877,77.580477,South Indian,4.0,20,+91-892055138
326,Garden Plate,12.956522,77.600503,Chinese,3.8,10,+91-980439867
327,Fresh Bites,12.980161,77.597053,Biryani,4.2,12,+91-899081734
328,Garden Eats,12.977241,77.590916,Continental,4.1,4,+91-832200132
329,Curry Bowl,12.957996,77.594333,Fast Food,,6,+91-971618633
330,Urban Eats,12.969814,77.596937,Beverages,3.0,200,+91-783698792
331,Fresh Treats,12.955605,77.581509,Fast Food,4.0,15,+91-939919562
332,Daily Treats,12.982618,77.589223,Healthy Bowls,4.2,15,+91-955816176
333,Daily Corner,12.966964,77.598877,Continental,4.3,4,+91-764923338
334,Curry House,12.959023,77.598147,Bakery & Desserts,4.5,6,+91-789028889
335,Bombay Hub,12.959543,77.607136,Healthy Bowls,3.1,0,+91-768090825
336,Namma Bistro,12.982442,77.594054,Chinese,3.2,20,+91-877660514
337,Fresh Box,12.983804,77.591997,Italian,4.8,8,+91-778759020
338,Garden Bowl,12.965165,77.601048,Continental,3.2,12,+91-997253117
339,Namma Plate,12.986806,77.58429,Biryani,4.4,12,+91-881659221
340,Daily Kitchen,12.96475,77.605714,Continental,3.6,4,+91-948468887
341,Spice Plate,12.977468,77.583286,Fast Food,3.9,8,+91-785414925
342,Namma Junction,12.983275,77.602357,Italian,4.5,15,+91-865910573
343,Royal Diner,12.986214,77.609826,North Indian,,8,+91-840272606
344,Cloud Bowl,12.984768,77.601148,Healthy Bowls,4.1,20,+91-719995059
345,Namma House,12.961583,77.584161,Bakery & Desserts,,8,+91-810757677
346,Tandoor Kitchen,12.966178,77.60131,Chinese,4.1,20,+91-886863404
347,Hot Bowl,12.973205,77.580932,Continental,3.2,4,+91-822340723
348,Cloud Bowl,12.966781,77.606869,Biryani,3.3,20,+91-711181612
349,Curry Box,12.959271,77.589672,Healthy Bowls,3.3,4,+91-961791391
350,Spice Box,12.963811,77.601767,Continental,3.6,20,+91-735838575
351,Urban Express,12.96585,77.581235,Continental,4.1,6,+91-823948820
352,Wok Plate,12.962179,77.60512,Bakery & Desserts,4.8,15,+91-921746856
353,Green Diner,12.957944,77.584296,South Indian,3.3,8,+91-812267067
354,Spice Hub,12.968064,77.582386,Healthy Bowls,,15,
355,Daily Hub,12.985298,77.581996,Fast Food,3.4,10,
356,Hot Junction,12.960602,77.585636,Continental,4.1,8,+91-796965116
357,Namma Eats,12.96754,77.608983,Continental,2.9,12,+91-838192821
358,Royal Bites,12.979545,77.607513,Bakery & Desserts,4.6,6,+91-925384377
359,Garden Kitchen,12.961403,77.604189,Continental,4.0,8,+91-775389589
360,Cloud Hub,12.986049,77.590028,Italian,4.1,6,+91-888405961
361,Daily Bowl,12.960477,77.59674,Bakery & Desserts,3.5,20,+91-828026223
362,Bombay Cafe,12.977347,77.58921,Beverages,3.4,12,
363,Wok Diner,12.96458,77.605046,Italian,4.7,4,+91-714186818
364,Daily Treats,12.981605,77.597125,Italian,4.0,12,+91-959099345
365,Fresh Plate,12.96816,77.607126,Fast Food,3.9,4,+91-732259144
366,Tandoor Express,12.979831,77.583092,Healthy Bowls,4.2,6,+91-975450221
367,Curry Kitchen,12.963016,77.587059,Italian,4.5,10,
368,Hot Diner,12.986979,77.58897,Fast Food,3.4,12,+91-797689346
369,Green Junction,12.984343,77.581091,Italian,3.5,20,+91-977355419
370,Curry House,12.983825,77.592677,Continental,3.2,6,+91-740916561
371,Urban Cafe,12.968868,77.589167,Beverages,4.0,15,
372,Cloud Diner,12.973952,77.583756,North Indian,3.1,6,+91-785645742
373,Hot Hub,12.976004,77.606712,Fast Food,3.3,12,+91-890643207
374,Daily Express,12.960167,77.597245,Healthy Bowls,3.4,15,+91-940845084
